Name~Age~SS~IN~FL~ST~RC~Aggr.~Career Titles~Career Wins~Career Top 5's~Career Top 10's~Career Races~~
Christian Eckes~19~62~62~62~62~62~62~0~0~0~0~0~
Levi Lajoie~0~-8~-8~-8~-8~-8~-8~0~0~0~0~0~
Jimmie Johnson, Jr.~-5~-11~-11~-11~-11~-11~-11~0~0~0~0~0~
Willie Mullins~39~57~57~57~57~57~57~0~0~0~0~0~
Martin Truex III~-7~-14~-14~-14~-14~-14~-14~0~0~0~0~0~
Jeffrey Earnhardt~31~61~61~61~61~61~61~0~0~0~0~76~
Bobby Dale Earnhardt~32~55~55~55~55~55~55~0~0~0~0~0~
Kyle Sieg~19~48~48~48~48~48~70~0~0~0~0~0~
Ryan Repko~20~44~44~44~44~44~44~0~0~0~0~0~
Jesse Love~15~46~46~46~46~46~46~0~0~0~0~0~
Trevor Bayne~29~65~65~65~65~65~65~0~1~5~16~187~
Greg Biffle~50~72~72~72~72~72~72~0~19~92~175~510~
Josh Reaume~29~43~43~43~43~43~43~0~0~0~0~0~
Matt Tifft~24~58~58~58~58~58~58~0~0~0~1~33~
Dale Earnhardt IV~-34~-49~-49~-49~-49~-49~-49~0~0~0~0~0~
Hudson Logano~2~-3~-3~-3~-3~-3~0~0~0~0~0~0~
Tanner Kahne~5~9~9~9~9~9~9~0~0~0~0~0~
Carson Hocevar~17~39~40~42~38~38~40~0~0~0~0~0~
Timothy Peters~40~69~66~65~64~66~67~0~0~0~0~1~
Stewart Friesen~37~65~65~65~65~65~65~0~0~0~0~0~
Drew Herring~33~65~65~65~65~65~65~0~0~0~0~1~
David Starr~53~70~70~70~70~70~70~0~0~0~0~9~
Santino Ferrucci~22~61~63~64~62~66~100~0~0~0~0~0~
Robby Lyons~31~61~61~61~61~61~61~0~0~0~0~0~
Ryan Vargas~20~54~54~54~54~54~54~0~0~0~0~0~
Casey Mears~42~80~72~73~74~76~70~0~1~13~51~489~
Colby Howard~19~52~52~52~52~52~52~0~0~0~0~0~
Kody Vanderwal~19~52~52~52~52~52~90~0~0~0~0~0~
Stephen Leicht~33~60~60~60~60~60~60~0~0~0~0~18~
Mason Massey~23~56~57~55~58~59~57~0~0~0~0~0~
Colin Garrett~20~53~54~52~51~52~55~0~0~0~0~0~
Chase Purdy~21~50~51~53~51~49~52~0~0~0~0~0~
Travis Pastrana~37~68~68~68~68~68~80~0~0~0~0~0~
James Buescher~30~72~69~70~71~68~70~0~0~0~0~0~
